@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute controlVar4 numeric
@attribute controlVar5 numeric
@attribute varObjetivo numeric

@data
-100,0,411.542755,86.310221,-410.552541,163.901077,1795.493164
-100,0,-92.524055,47.092768,-297.984243,118.07251,827.19989
-100,0,-106.771103,16.16827,-15.929612,59.349216,172.652008
-100,0,-35.331989,7.066458,35.332045,0,46.536808
-100,0,1.07572,8.051817,51.334536,59.349236,81.322823
-100,0,29.804466,7.827792,20.665684,118.072472,114.349258
-100,0,138.428177,31.684873,-138.428411,163.901077,639.271179
-100,0,101.68219,87.555681,-101.682379,127.331512,486.02179
-100,0,-30.416733,46.046106,-66.196508,101.818939,207.123032
-100,0,-87.91761,46.927458,-10.877723,53.245049,136.453445
-100,0,-51.053368,35.737718,51.053271,0,74.237175
-100,0,4.284549,34.317964,63.310114,53.245079,113.671883
-100,0,41.783936,33.53626,23.875422,101.818924,149.379547
-100,0,23.472525,30.430776,-23.472509,127.331512,144.618713
-100,0,19.254057,49.494055,-19.291265,99.368896,133.867477
-100,0,-18.876728,41.102884,-23.129333,82.651344,97.050697
-100,0,-40.947235,39.185812,1.707634,44.821804,55.587715
-100,0,-56.917526,68.300569,56.917578,0,86.54509
-100,0,-3.96501,31.786283,32.523447,44.821819,53.523808
-100,0,41.983944,57.665884,23.928641,82.651329,159.808289
-100,0,12.762864,39.315119,-12.762915,99.368896,98.530548
-100,0,9.681217,53.152536,-9.674811,79.513474,89.339775
-100,0,-17.873901,53.571649,-19.386518,67.262917,86.305931
-100,0,-31.732622,44.046568,4.176765,37.297375,45.866085
-100,0,-43.562626,74.057344,43.562674,0,70.02549
-100,0,-2.660679,51.086187,37.389559,37.297394,59.277409
-100,0,10.991579,43.123964,15.624455,67.262901,67.724274
-100,0,8.894231,49.120436,-8.894027,79.513474,88.353165
-100,0,9.815747,6.612764,-22.745414,169.777832,139.088684
-100,0,-43.312435,7.407539,-30.454096,119.215492,148.926712
-100,0,-81.397606,8.397484,24.285296,59.737156,116.586029
-100,0,-38.713387,7.742797,77.426569,0,66.84037
-100,0,21.982079,7.191595,68.438936,59.737103,101.95488
-100,0,35.087219,6.039966,17.293705,119.215446,116.950615
-100,0,3.671926,4.734462,-7.343826,169.777832,93.10334
-100,0,11.349868,23.890491,-22.729021,145.234619,143.301559
-100,0,-31.042706,18.955595,-11.870937,111.476578,91.93174
-100,0,-51.893597,20.138325,22.515568,57.000885,62.24876
-100,0,-33.721569,23.604706,67.443072,0,57.393147
-100,0,8.289052,17.390995,47.699736,57.000839,63.694153
-100,0,27.106762,18.637251,17.771818,111.476532,95.565704
-100,0,14.249582,23.974827,-28.49914,145.234619,156.777725
-100,0,7.002207,34.521261,-14.012585,123.55896,114.090485
-100,0,-23.973518,25.61018,-1.163002,99.473785,64.673378
-100,0,-59.975025,38.867761,22.999838,52.28017,76.739418
-100,0,-27.030907,32.43672,54.061075,0,35.320801
-100,0,10.479163,31.946642,51.016398,52.280125,71.786407
-100,0,45.219513,41.687448,16.685534,99.473763,153.247452
-100,0,3.089946,27.708095,-6.179939,123.55896,80.729195
-100,0,16.9286,65.482271,-33.881571,105.51123,179.836136
-100,0,-40.870789,59.595968,-26.756159,87.166756,145.810898
-100,0,-30.466089,32.587515,21.226963,46.910271,31.494791
-100,0,-30.890846,52.514768,61.781809,0,47.512028
-100,0,6.763502,40.130884,45.389426,46.910233,53.015667
-100,0,40.482464,55.448824,16.971487,87.166733,139.899094
-100,0,2.405415,38.088625,-4.810768,105.51123,81.816048
-100,0,5.217456,5.601902,-20.162294,172.762268,145.765854
-100,0,-63.874268,7.135652,-30.755398,119.605408,193.916855
-100,0,-46.745083,4.372107,37.518984,59.868092,53.293133
-100,0,-21.040277,4.208011,63.119967,0,28.512508
-100,0,39.143593,6.684588,85.420321,59.868145,124.946465
-100,0,42.229847,5.371742,19.312304,119.605423,131.335159
-100,0,10.44501,6.088937,-31.334377,172.762268,186.588165
-100,0,2.394341,17.654169,-7.224717,155.036621,107.772995
-100,0,-40.030857,17.019451,-3.86556,115.463341,100.748383
-100,0,-83.288582,23.559341,44.998568,58.442356,108.210815
-100,0,-20.059551,14.04188,60.178938,0,25.431219
-100,0,35.209503,22.083635,80.984644,58.442413,119.899933
-100,0,46.645184,19.798677,18.408583,115.463326,143.646606
-100,0,-0.854903,13.401282,2.565455,155.036621,71.174515
-100,0,0.59777,26.739307,-1.78056,138.439148,90.496506
-100,0,-26.602552,21.496429,11.276856,108.13089,54.821884
-100,0,-44.274384,25.27527,37.013228,55.740814,42.171974
-100,0,-28.691904,34.429247,86.072405,0,47.541111
-100,0,24.27038,31.601461,68.646807,55.740856,90.087593
-100,0,19.476927,23.417873,23.968165,108.13089,74.779121
-100,0,4.611442,29.53282,-13.832688,138.439148,122.963501
-100,0,-3.286964,30.247591,9.88609,123.476204,49.618622
-100,0,-26.235165,30.154301,11.691855,99.421333,52.605129
-100,0,-33.537369,29.915024,34.816397,52.258301,29.098972
-100,0,-31.730421,53.942156,95.19224,0,60.57172
-100,0,14.087184,36.517385,57.16329,52.25835,56.274837
-100,0,24.290934,35.815802,22.98321,99.421318,87.484909
-100,0,8.711841,48.809782,-26.136741,123.476204,169.469208
-100,0,-0.029347,4.489333,-5.807599,174.445892,119.510529
-100,0,-47.927536,4.559189,3.32459,119.767357,111.394913
-100,0,-91.375549,6.105645,63.280764,59.922352,120.692299
-100,0,-21.32851,4.265706,85.314066,0,30.652853
-100,0,32.545998,4.870818,81.141367,59.922302,90.299362
-100,0,54.305069,5.244402,21.606764,119.767311,158.551758
-100,0,0.551809,4.110353,-2.207181,174.445892,113.0923
-100,0,8.174576,22.350799,-32.754669,160.729004,205.353897
-100,0,-84.80574,24.666323,-32.329757,117.256607,242.782104
-100,0,-81.677002,19.65699,60.503939,59.068878,99.055183
-100,0,-31.324957,21.927835,125.300303,0,73.021538
-100,0,26.150095,15.537205,74.95505,59.06881,79.866875
-100,0,39.877663,15.807678,25.732098,117.256577,118.509811
